Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
199697212,When Monsters Speak: A Susan Stryker Reader (ASTERISK),Susan Stryker,"Stryker, Susan",McKenzie Wark,"=""147803047X""","=""9781478030478""",5,4.61,Duke University Press,Paperback,208,2024,,2026/04/04,2026/02/20,,,read,,,,1,0
199313930,"Genefather (Warhammer 40,000)",Guy Haley,"Haley, Guy",,"=""1804074489""","=""9781804074480""",0,4.20,Black Library,Kindle Edition,340,2023,2023,,2026/04/01,currently-reading,currently-reading (#5),currently-reading,,,,1,0
7420442,"Manifesto cyborg. Donne, tecnologie e biopolitiche del corpo",Donna J. Haraway,"Haraway, Donna J.","Rosi Braidotti, Liana Borghi","=""8807460017""","=""9788807460012""",4,3.88,Feltrinelli,Paperback,194,1999,1985,2017/12/20,2017/12/20,físicos,físicos (#189),read,,,,1,0
48513905,La potencia feminista,Verónica Gago,"Gago, Verónica",,"=""9873687556""","=""9789873687556""",2,4.08,Tinta limón ediciones,Paperback,256,2019,2019,2022/02/16,2022/01/06,físicos,físicos (#111),read,,,,1,0
63350723,"Tiempo de feminismo: Cuerpos, imágenes y revuelta",Alejandra Castillo,"Castillo, Alejandra",,"=""9568438750""","=""9789568438753""",4,4.00,Palinodia,Paperback,206,2022,,2022/11/27,2022/11/18,,,read,,,,1,0
219369190,La cuestión trans. Un análisis situado de las políticas identitarias en Chile,Shane Águila Cienfuegos Cortés,"Cortés, Shane Águila Cienfuegos",,"=""956303676X""","=""9789563036763""",2,3.80,Editorial USACH,Paperback,167,2024,,2024/09/30,2024/09/20,físicos,físicos (#165),read,,,,1,0
128362003,Psicoanálisis y ciencias humanas: Dos conferencias (1963-1964) (Spanish Edition),Louis Althusser,"Althusser, Louis",,"=""9878928233""","=""9789878928234""",0,3.74,Ediciones Godot,Kindle Edition,0,2022,1996,2026/03/20,2026/03/20,físicos,físicos (#188),read,,,,1,0
245602185,Fascismo y estupidez,Paula Biglieri,"Biglieri, Paula",,"=""9569398957""","=""9789569398957""",3,3.00,Montacerdos,Paperback,96,,,2026/01/19,2026/01/13,físicos,físicos (#180),read,,,,1,0
35411813,Las fórmulas,Carolina Rack,"Rack, Carolina",,"=""9569667141""","=""9789569667145""",4,3.45,Ediciones Overol,Paperback,67,2017,,2025/04/28,2025/04/18,físicos,físicos (#172),read,,,,1,0
44451854,"The Lost and the Damned (The Siege of Terra, #2)",Guy Haley,"Haley, Guy",,"=""1781939446""","=""9781781939444""",3,4.23,Black Library,Hardcover,426,2019,2019,2025/03/29,2025/02/10,,,read,,,,1,0
